ID,Name,CertRootType,CertRootValue,CertPublisher
ID_SIGNER_ACCELLID_1,Symantec Class 3 SHA256 Code Signing CA,TBS,A08E79C386083D875014C409C13D144E0A24386132980DF11FF59737C8489EB1,Elitegroup Computer Systems Co Ltd
ID_SIGNER_ACCELLID_2,Microsoft Windows Third Party Component CA 2012,TBS,CEC1AFD0E310C55C1DCC601AB8E172917706AA32FB5EAF826813547FDF02DD46,
ID_SIGNER_AMON,Microsoft Windows Third Party Component CA 2014,TBS,D8BE9E4D9074088EF818BC6F6FB64955E90378B2754155126FEEBBBD969CF0AE,
ID_SIGNER_BAOJI,"VeriSign Class 3 Code Signing 2010 CA - Baoji zhihengtaiye co.,ltd",TBS,ED37AD43BC52426943019F77F35ED1A6B063B5B7,
ID_SIGNER_BEIJING_CHUNBAI,"VeriSign Class 3 Code Signing 2010 CA - Beijing Chunbai Technology Development Co., Ltd",TBS,C4CD7D2A3E12022BCFE2852A14438C7F2BD3A959,
ID_SIGNER_BEIJING_VSK,"Symantec Class 3 Code - Beijing VSK Soft Development Co.,Ltd; Thumbprint: 49B76C0AD6085E2F7385644F36CECC09F320BCF4",TBS,399B4EC286EC1963F1BB36206F3200C23DBF1717E24CF0868335FF3E13A45EA0,
ID_SIGNER_GEOTRUST_SRL_2009,HT Srl Digital ID Class 3 - Microsoft Software Validation v2,TBS,D70EDFA009A76BD8250D74E9EE92EB9EAD7D4CB3,
ID_SIGNER_GEOTRUST_SRL_2010,HT Srl Digital ID Class 3 - Microsoft Software Validation v2,TBS,E5BA2ABBD1DC89F143A66A3CDCDA26D968758E2D,
ID_SIGNER_GLOBAL_SOFT,"Symantec Class 3 SHA256 Code Signing CA - Global Software, LLC",TBS,A79C023D3452B2F27E7BC36D2588C28564B2ABABBF78AFAC844152B8DD3A89D4,
ID_SIGNER_GOOD_WEI,thawte SHA256 Code Signing CA - 善君 韦,TBS,8438D529DC1D87E288CE3C8830A782BB167E20A6E1FD37624D5DF21340FF6B25,
ID_SIGNER_HANDAN,Handan City Congtai District LiKang  Daily Goods Department,TBS,CCCAE21FBC083F5D1AF6997BB3F29ED9915E7324,
ID_SIGNER_HYPERTECH,"VeriSign Class 3 Code Signing 2010 CA - HYPER TECH CO., LTD.",TBS,5CBF0640A92AB3779F2AF481DAF0ADFEF9BD99F5,
ID_SIGNER_NANJING,"Nanjing Zhixiao Information Technology Co.,Ltd",TBS,F5E1C4D98F9CE552EAD3776C16F3AD91FE5F3984,
