ID,FriendlyName,FileName,Authentihash,FileHash,b64FileHash,MinimumFileVersion,MaximumFileVersion,InternalName,ProductName
ID_DENY_IOACCESS_21,IoAccess.sys\6a92170c71bf052922aebd1136842ccbf5942e6b53740d9cfd9de6c58bc13b58,IoAccess.sys,F927819A32EA1CB1D83E15B5D6A4F693C954CF0AC523BA19C4F958C2EA74F72A,6A92170C71BF052922AEBD1136842CCBF5942E6B53740D9CFD9DE6C58BC13B58,apIXDHG/BSkirr0RNoQsy/WULmtTdA2c/Z3mxYvBO1g=,,,,
ID_DENY_IOACCESS_22,IoAccess.sys\0b135632111316facbbf06fe8ecf1522cb415745875a329abe070881bfe2a555,IoAccess.sys,FAF290EDD14AE923A52A23A84532D6A26C5CAEF73B2FC647B5CE7F418AC1FAC5,0B135632111316FACBBF06FE8ECF1522CB415745875A329ABE070881BFE2A555,CxNWMhETFvrLvwb+js8VIstBV0WHWjKavgcIgb/ipVU=,,,,
ID_DENY_IREC_1,IREC.sys\irec32--1.sys Hash Sha1,IREC.sys,B715B8030FC28346C97B5F5FB901C390ED5C97B6,,,,,,
ID_DENY_IREC_2,IREC.sys\irec32--1.sys Hash Sha256,IREC.sys,2E8E61DAA45061AE04AABEE086371A6D56F0D517AA584E1B70C8423C8E469310,,,,,,
ID_DENY_IREC_3,IREC.sys\irec32--1.sys Hash Page Sha1,IREC.sys,9DF591D3672885C5BAA454413C75D974386B9F14,,,,,,
ID_DENY_IREC_4,IREC.sys\irec32--1.sys Hash Page Sha256,IREC.sys,883602C2C622E270F91E6391FE5E4B156CB68ED6B41A2F5694EFB93774579FFF,,,,,,
ID_DENY_IREC_5,IREC.sys\irec32--10.sys Hash Sha1,IREC.sys,BCA37BCC2AEE3383F43D0126E30E07893E40F452,,,,,,
ID_DENY_IREC_6,IREC.sys\irec32--10.sys Hash Sha256,IREC.sys,B431CBD247F1D229CA2A90256063973A8B4129A154926026366766677AB740F6,,,,,,
ID_DENY_IREC_7,IREC.sys\irec32--10.sys Hash Page Sha1,IREC.sys,4B2582568EC84D1711D3EDCBE53730F32D9EA4F5,,,,,,
ID_DENY_IREC_8,IREC.sys\irec32--10.sys Hash Page Sha256,IREC.sys,6D94B06210D7946DD9F4EC83D2E804FC6EA0083E95CBACA0E62D84891C9DA51C,,,,,,
ID_DENY_IREC_9,IREC.sys\irec32--11.sys Hash Sha1,IREC.sys,EAA1C906B44925B71D4F67A29F125158CF58FBA1,,,,,,
ID_DENY_IREC_A,IREC.sys\irec32--11.sys Hash Sha256,IREC.sys,EBFF008864CE631BCD44328DF0E72901EA08B83EA25EB6949FC8D61335E6A149,,,,,,
ID_DENY_IREC_B,IREC.sys\irec32--11.sys Hash Page Sha1,IREC.sys,86777AF3C0E74138EF70C3DC02D98E3938F244BA,,,,,,
ID_DENY_IREC_C,IREC.sys\irec32--11.sys Hash Page Sha256,IREC.sys,968D1E5440BA5F42E5E50C33ECFEE253FC6217F58F0475EC881DF9A65F254584,,,,,,
ID_DENY_IREC_D,IREC.sys\irec32--2.sys Hash Sha1,IREC.sys,BC47F6F4A03B944A2C9BADA25275D5ED35A00946,,,,,,
ID_DENY_IREC_E,IREC.sys\irec32--2.sys Hash Sha256,IREC.sys,E04C028FA5D0343A10C1D526ADD23B5C98834B252A87732CF69F4D482A7DAB94,,,,,,
ID_DENY_IREC_F,IREC.sys\irec32--2.sys Hash Page Sha1,IREC.sys,F2F9BC79B1CF1FC2C4F9C3B59C53F5A8949CC987,,,,,,
ID_DENY_IREC_10,IREC.sys\irec32--2.sys Hash Page Sha256,IREC.sys,5ECD5D7679504C22300263889CC3B48F1724EC5276CA24C06BABED595C3501AF,,,,,,
ID_DENY_IREC_11,IREC.sys\irec32--3.sys Hash Sha1,IREC.sys,94881B8F8C0BD3EC9B4F8C44D74CD774AAEF77CA,,,,,,
ID_DENY_IREC_12,IREC.sys\irec32--3.sys Hash Sha256,IREC.sys,A026FADABEB628EAD4399CA3FB3369224983E311CF927EAC7826B230CB774B67,,,,,,
ID_DENY_IREC_13,IREC.sys\irec32--3.sys Hash Page Sha1,IREC.sys,3DEF49B1C6095AD5A5CACB5ED24958070C872925,,,,,,
ID_DENY_IREC_14,IREC.sys\irec32--3.sys Hash Page Sha256,IREC.sys,00A813073AED7A5C795C35BF239536962683A73BB315C774DBA9838144131DEF,,,,,,
